LocationID,Borough,Zone,service_zone,avg_fare,avg_trip_distance,total_trips
173,Queens,North Corona,Boro Zone,37.49,8.2,1.0
174,Bronx,Norwood,Boro Zone,0.0,0.0,0.0
175,Queens,Oakland Gardens,Boro Zone,32.3,0.0,1.0
176,Staten Island,Oakwood,Boro Zone,0.0,0.0,0.0
177,Brooklyn,Ocean Hill,Boro Zone,0.0,0.0,0.0
178,Brooklyn,Ocean Parkway South,Boro Zone,3.3,1.1,1.0
179,Queens,Old Astoria,Boro Zone,15.276666666666667,3.2427777777777775,18.0
180,Queens,Ozone Park,Boro Zone,0.0,0.0,0.0
181,Brooklyn,Park Slope,Boro Zone,18.373783783783786,3.8399999999999994,37.0
182,Bronx,Parkchester,Boro Zone,0.0,0.0,0.0
183,Bronx,Pelham Bay,Boro Zone,0.0,0.0,0.0
184,Bronx,Pelham Bay Park,Boro Zone,0.0,0.0,0.0
185,Bronx,Pelham Parkway,Boro Zone,8.8,1.84,1.0
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,14.704752851711026,2.3179721166032956,789.0
187,Staten Island,Port Richmond,Boro Zone,0.0,0.0,0.0
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,17.0125,3.2475,4.0
189,Brooklyn,Prospect Heights,Boro Zone,19.05333333333333,4.033333333333334,6.0
190,Brooklyn,Prospect Park,Boro Zone,15.175,2.6500000000000004,2.0
191,Queens,Queens Village,Boro Zone,0.0,0.0,0.0
192,Queens,Queensboro Hill,Boro Zone,0.0,0.0,0.0
193,Queens,Queensbridge/Ravenswood,Boro Zone,9.803636363636365,1.3890909090909092,11.0
194,Manhattan,Randalls Island,Yellow Zone,0.0,0.0,0.0
195,Brooklyn,Red Hook,Boro Zone,12.8,3.25,1.0
196,Queens,Rego Park,Boro Zone,14.775,3.215,2.0
197,Queens,Richmond Hill,Boro Zone,7.050000000000001,0.01,2.0
198,Queens,Ridgewood,Boro Zone,0.0,0.0,0.0
199,Bronx,Rikers Island,Boro Zone,0.0,0.0,0.0
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,9.8,0.71,1.0
201,Queens,Rockaway Park,Boro Zone,0.0,0.0,0.0
202,Manhattan,Roosevelt Island,Boro Zone,9.8,1.8,1.0
203,Queens,Rosedale,Boro Zone,0.0,0.0,0.0
204,Staten Island,Rossville/Woodrow,Boro Zone,0.0,0.0,0.0
205,Queens,Saint Albans,Boro Zone,0.0,0.0,0.0
206,Staten Island,Saint George/New Brighton,Boro Zone,0.0,0.0,0.0
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,0.0,0.0,0.0
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,10.0,0.0,1.0
209,Manhattan,Seaport,Yellow Zone,18.64189189189189,3.768648648648649,37.0
210,Brooklyn,Sheepshead Bay,Boro Zone,0.0,0.0,0.0
211,Manhattan,SoHo,Yellow Zone,16.009999999999998,2.694808743169399,183.0
212,Bronx,Soundview/Bruckner,Boro Zone,0.0,0.0,0.0
213,Bronx,Soundview/Castle Hill,Boro Zone,25.99,5.4,1.0
214,Staten Island,South Beach/Dongan Hills,Boro Zone,0.0,0.0,0.0
215,Queens,South Jamaica,Boro Zone,13.8,3.4,1.0
216,Queens,South Ozone Park,Boro Zone,70.26,14.2,1.0
217,Brooklyn,South Williamsburg,Boro Zone,0.0,0.0,0.0
218,Queens,Springfield Gardens North,Boro Zone,43.82,9.16,1.0
219,Queens,Springfield Gardens South,Boro Zone,0.0,0.0,0.0
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,0.0,0.0,0.0
221,Staten Island,Stapleton,Boro Zone,0.0,0.0,0.0
222,Brooklyn,Starrett City,Boro Zone,0.0,0.0,0.0
223,Queens,Steinway,Boro Zone,20.751875000000002,3.439375,16.0
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,12.105660377358491,1.9835849056603774,53.0
225,Brooklyn,Stuyvesant Heights,Boro Zone,12.96,2.3,1.0
